Key	EN	FR	DE	ES	PO	CH	RU
play_btn	>Play game	>Jouer	>Spiel spielen	>Iniciar juego	>Jogar	>玩游戏	>Начать показ
options_btn	>Options	>Options	>Optionen	>Opções	>Opções	>选项	>Параметры
exit_btn	>Exit	>Quitter	>Salir	>Salir	>Sair	>退出	>Выйти
language	Language	Langue	Sprache	Idioma	Idioma	语言	Язык
main_vol	Main	Principal	Hauptlautstärke	Principal	Idioma	语言	Язык
music_vol	Music	Musique	Musik	Música	Música	音乐	Музыка
sfx_vol	SFX	Effets	Soundeffekte	Efectos	Efeitos	音效	Звуковые эффекты
back_btn	>Back	>Retour	>Zurück	>Atrás	>Voltar	>返回	>Назад
volume	Volume	Volume	Lautstärke	Volumen	Volume	音量	Том
game_over	Game Over !	Perdu !	Spielende !	Juego terminado !	Fim do Jogo !	游戏结束 !	Игра закончена !
bomb	Bomb	Bombe	Bombe	Bomba	Bomba	炸弹	Бомба
bombDesc	Drops bombs on the ground	Lâche des bombes au sol	Wirft Bomben auf den Boden	Lanza bombas en el suelo	Joga bombas no chão	向地面投掷炸弹	Сбрасывает бомбы на землю
bombLvlDesc	+Bigger Radius\n+Cooldown reduced\n+Delay reduced	+Plus grand rayon\n+ Temps de recharge réduit\n+Délai réduit	+Größerer Radius\n+ Abklingzeit reduziert\n+Verzögerung reduziert	+Mayor radio\n+Enfriamiento reducido\n+Retraso reducido	+ Raio maior\n+Resfriamento reduzido\n+Atraso reduzido	+更大的半径\n+冷却时间减少\n+减少延迟	+Большой радиус\n+Перезарядка уменьшена\n+ Задержка уменьшена
fireball	Fireball	Boule de feu	Feuerball	bola de fuego	bola fogo	火球	огненный шар
fireballDesc	Fire at the nearest enemy	Tire sur l'ennemi le plus proche	Feuern Sie auf den nächsten Feind	Dispara al enemigo más cercano	Atire no inimigo mais próximo	向最近的敌人开火	Огонь по ближайшему врагу
fireballLvlDesc	+Cooldown Reduced\n+Additional projectile	+ Temps de recharge réduit\n+ Projectile supplémentaire	+Abklingzeit reduziert\n+Zusätzliches Projektil	+Enfriamiento reducido\n+Proyectil adicional	+Resfriamento reduzido\n+Projétil adicional	+冷却时间减少\n+附加弹丸	+Перезарядка уменьшена\n+Дополнительный снаряд
lasergun	Laser Gun	Pistolet laser	Laserpistole	Pistola laser	Arma a laser	激光枪	Лазерная пушка
lasergunDesc	Fire rapidly at closest enemy	Tire rapidement sur l'ennemi le plus proche	Feuere schnell auf den nächsten Feind	Dispara rápidamente al enemigo más cercano	Atire rapidamente no inimigo mais próximo	快速向最近的敌人开火	Быстрый огонь по ближайшему врагу
lasergunLvlDesc	+Cooldown Reduced\n+Additional projectile\n+Damage up	+ Temps de recharge réduit\n+ Projectile supplémentaire\n+ Dégâts en hausse	+ Abklingzeit reduziert\n+Zusätzliches Projektil\n+Schaden auf	+Enfriamiento reducido\n+Proyectil adicional\n+Daño arriba	+Resfriamento reduzido\n+Projétil adicional\n+Danos	+冷却时间减少\n+附加弹丸\n+伤害上升	+Перезарядка уменьшена\n+Дополнительный снаряд\n+Увеличение урона
lightningwand	Lightning Wand	Baguette éclair	Blitzstab	Varita relámpago	Varinha de Relâmpago	闪电魔杖	Жезл молнии
lightningwandDesc	Strike at random enemy	Frappe un ennemi aléatoire	Schlagen Sie auf einen zufälligen Feind zu	Golpea a un enemigo al azar	Golpeie um inimigo aleatório	随机攻击敌人	Удар по случайному врагу
lightningwandLvlDesc	+Bigger area\n+Cooldown reduced\n+Additionnal projectile	+Zone plus grande\n+ Temps de recharge réduit\n+Projectile supplémentaire	+ Größere Fläche\n+ Abklingzeit reduziert\n+Zusätzliches Projektil	+Área más grande\n+Enfriamiento reducido\n+Proyectil adicional	+Área maior\n+Resfriamento reduzido\n+Projétil adicional	+更大的面积\n+冷却时间减少\n+附加弹丸	+Большая площадь\n+Перезарядка уменьшена\n+Дополнительный снаряд
shield	Shield	Bouclier	Schild	Blindaje	Escudo	盾	Щит
shieldDesc	Negate damage while active	Annule les dégâts tant qu'il est actif	Negiert Schaden, während es aktiv ist	Niega daño mientras está activo	Nega dano enquanto ativo	激活时抵消伤害	Отражение урона во время действия
shieldLvlDesc	+Cooldown Reduced\n+Longer duration	+Temps de recharge réduit\n+Durée plus longue	+ Abklingzeit reduziert\n+Längere Dauer	+Enfriamiento reducido\n+Mayor duración	+Resfriamento reduzido\n+ Duração mais longa	+冷却时间减少\n+持续时间更长	+Перезарядка уменьшена\n+Большая продолжительность
throwingknife	Throwing Knife	Couteau de lancer	Wurfmesser	Cuchillo arrojadizo	faca de arremesso	飞刀	метательный нож
throwingknifeDesc	Shoot at the last input direction	Tire dans la dernière direction d'entrée	it Schießen Sie in der letzten Eingaberichtung	dispara en la última dirección de entrada	it Atire na última direção de entrada	以最后输入的方向射击	стрелять в последнем направлении ввода
throwingKnifeLvlDesc	+Pass through an additionnal enemy\n+Additional projectile\n+Cooldown Reduced	+Passer à travers un ennemi supplémentaire\n+ Projectile supplémentaire\n+ Temps de recharge réduit	+Gehe durch einen zusätzlichen Feind\n+Zusätzliches Projektil\n+ Abklingzeit reduziert	+Pasar a través de un enemigo adicional\n+Proyectil adicional\n+Enfriamiento reducido	+ Passe por um inimigo adicional\n+Projétil adicional\n+Resfriamento reduzido	+通过一个额外的敌人\n+附加弹丸\n+冷却时间减少	+Пройти через дополнительного врага\n+Дополнительный снаряд\n+Перезарядка уменьшена
torch	Torch	Torche	Fackel	Antorcha	Tocha	火炬	факел
torchDesc	Create a fire ring around you	Créez un anneau de feu autour de vous	Erstellen Sie einen Feuerring um sich herum	Crea un anillo de fuego a tu alrededor	Crie um anel de fogo ao seu redor	在你周围创造一个火环	Создайте вокруг себя огненное кольцо
torchLvlDesc	+Bigger radius\n+Longer duration	+Plus grand rayon\n+Durée plus longue	+Größerer Radius\n+Längere Dauer	+Mayor radio\n+Mayor duración	+Raio maior\n+ Duração mais longa	+更大的半径\n+持续时间更长	+Большой радиус\n+Большая продолжительность
levelup	Level up !	Niveau supérieur !	Aufleveln !	Elevar a mismo nivel !	Subir de nível !	升级 !	Уровень повышен !
loading	Loading...	Chargement...	Wird geladen...	Cargando...	Carregando...	加载中...	Загрузка...
main_menu	Main menu	Menu principal	Hauptmenü	Menú principal	Menu principal	主菜单	Главное меню
go_back	Go back to main menu ?	Revenir au menu principal ?	Zurück zum Hauptmenü ?	¿Volver al menú principal?	Voltar ao menu principal?	返回主菜单?	Вернуться в главное меню?
yes	Yes	Oui	Ja	Sí	Sim	是的	Да
no	No	Non	NEIN	No	Não	不	Нет
